Item_number,Description,"Total_650K
"
013064-473-00001,Return belt support,494
013064-407-10001,Assy Drive LR/ARP with transparent cover,10
013064-407-00001,Assy Drive LR/ARP with transparent cover,34
013064-397-00096,Deck ETU BF W=960 L=174,24
013064-397-00086,Deck ETU BF W=860 L=174,89
013064-397-00076,"Deck ETU BF W=760 L=174,02",121
013064-397-00066,Deck ETU BF W=660 L=174,64
013064-397-00056,Deck ETU BF W=560 L=174,590
013064-397-00046,"Deck ETU BF W=460 L=174,1",740
013064-396-75096,Weldment Standard Deck BF (epoxy coated / blank) W=960 L=748,127
013064-396-75086,Weldment Standard Deck BF (epoxy coated / blank) W=860 L=748,214
013064-396-75076,Weldment Standard Deck BF (epoxy coated / blank) W=760 L=748,462
013064-396-75066,Weldment Standard Deck BF (epoxy coated / blank) W=660 L=748,423
013064-396-75056,Weldment Standard Deck BF (epoxy coated / blank) W=560 L=748,2074
013064-395-75146,"Deck Standard  BF (epoxy coated / blank) W=460 L=748,1",3607
013064-395-52196,Deck Standard  BF (epoxy coated / blank) W=960 L=523,5
013064-395-52186,Deck Standard  BF (epoxy coated / blank) W=860 L=523,1
013064-395-52176,"Deck Standard  BF (epoxy coated / blank) W=760 L=523,04",18
013064-395-52166,"Deck Standard  BF (epoxy coated / blank) W=660 L=523,1",16
013064-395-52156,"Deck Standard  BF (epoxy coated / blank) W=560 L=523,1",111
013064-395-52146,"Deck Standard  BF (epoxy coated / blank) W=460 L=523,1",139
013064-395-37196,"Deck Standard  BF (epoxy coated / blank) W=960 L=373,03",0
013064-395-37186,Deck Standard  BF (epoxy coated / blank) W=860 L=373,1
013064-395-37176,Deck Standard  BF (epoxy coated / blank) W=760 L=373,12
013064-395-37166,"Deck Standard  BF (epoxy coated / blank) W=660 L=373,1",13
013064-395-37156,"Deck Standard  BF (epoxy coated / blank) W=560 L=373,1",32
013064-395-37146,"Deck Standard  BF (epoxy coated / blank) W=460 L=373,1",91
013064-395-30196,"Deck Standard  BF (epoxy coated / blank) W=960 L=298,03",0
013064-395-30186,Deck Standard  BF (epoxy coated / blank) W=860 L=298,5
013064-395-30176,"Deck Standard  BF (epoxy coated / blank) W=760 L=298,04",19
013064-395-30166,"Deck Standard  BF (epoxy coated / blank) W=660 L=298,1",30
013064-395-30156,"Deck Standard  BF (epoxy coated / blank) W=560 L=298,1",188
013064-395-30146,"Deck Standard  BF (epoxy coated / blank) W=460 L=298,1",172
013064-395-22196,"Deck Standard  BF (epoxy coated / blank) W=960 L=223,03",11
013064-395-22186,Deck Standard  BF (epoxy coated / blank) W=860 L=223,79
013064-395-22176,Deck Standard  BF (epoxy coated / blank) W=760 L=223,67
013064-395-22166,"Deck Standard  BF (epoxy coated / blank) W=660 L=223,1",49
013064-395-22156,"Deck Standard  BF (epoxy coated / blank) W=560 L=223,1",237
013064-395-22146,"Deck Standard  BF (epoxy coated / blank) W=460 L=223,1",258
013064-395-15146,"Deck Standard  BF (epoxy coated / blank) W=460 L=148,1",0
013064-395-07196,Deck Standard  BF (epoxy coated / blank) W=960 L=73,6
013064-395-07186,"Deck Standard  BF (epoxy coated / blank) W=860 L=73,03",1
013064-395-07176,Deck Standard  BF (epoxy coated / blank) W=760 L=73,27
013064-395-07166,"Deck Standard  BF (epoxy coated / blank) W=660 L=73,1",13
013064-395-07156,"Deck Standard  BF (epoxy coated / blank) W=560 L=73,1",42
013064-395-07146,"Deck Standard  BF (epoxy coated / blank) W=460 L=73,1",181
013064-371-01198,Assy Pressure wheel,7
013064-349-00001,Assy Cabling EC310 (1 Dir M12),0
013064-339-00001,Assy SR frictionwheel,8
013064-085-00560,Assy ETU Knife Belt W=560,0
013064-060-11020,Assy shallow drive ?200 Left W=1020,0
013064-060-10720,Assy shallow drive ?200 left W=720,0
013064-060-10620,Assy shallow drive ?200 Left W=620,10
013064-060-01020,Assy shallow drive ?200 Right W=1020,0
013064-060-00920,Assy shallow drive ?200 Right W=920,12
013064-060-00720,Assy shallow drive ?200 Right W=720,12
013064-060-00620,Assy shallow drive ?200 Right W=620,3
013064-060-00520,Assy shallow drive ?200 Right W=520,22
013064-023-02400,Assy belt protection angle,0
013064-023-01800,Assy belt protection angle,23
013064-023-01500,Assy belt protection angle,0
013064-023-01200,Assy belt protection angle,29
013064-023-00900,Assy belt protection angle,0
013064-021-30732,Assy Return Roller SB merge section,14
013064-021-30632,Assy Return Roller SB merge section,23
013064-021-20632,Assy Return Roller SB merge section,11
013064-019-30076,Weldment merge deck L=2996,0
013064-019-21076,Weldment merge deck L=2096,14
013064-019-15076,Weldment merge deck L=1496,6
013064-018-30066,Merge deck small W=660 L=2996,2
013064-018-21066,Merge deck small W=660 L=2096,7
013064-018-15066,Merge deck small W=660 L=1496,23
013064-017-00001,Assy connection LR junction,138
013064-003-00520,Assy Nose Over MB,28
012806-075-00145,ASSY FILLING PLATE,152
012634-039-30001,"Assy slider bed, W=1500mm, L=3000mm",228
012632-998-00001,Assy Underguarding Clip,49458
012632-997-01020,Sheet underguarding 958 x 1500mm conveyor W=1020mm,83
012632-997-00920,Sheet underguarding 858 x 1500mm conveyor W=920mm,143
012632-997-00820,Sheet underguarding 758 x 1500mm conveyor W=820mm,337
012632-997-00720,Sheet underguarding 658 x 1500mm conveyor W=720mm,568
012632-997-00620,Sheet underguarding 558 x 1500mm conveyor W=620mm,2271
012632-997-00520,Sheet underguarding 458 x 1500mm conveyor W=520mm,4535
012632-964-00458,?50 Slave roller dual side Poly-V belt Axle EL=458 L=480mm,779
012632-958-00958,?50 Slave roller single side Poly-V belt Axle EL=958 L=980mm,0
012632-958-00858,?50 Slave roller single side Poly-V belt Axle EL=858 L=880mm,0
012632-958-00758,?50 Slave roller single side Poly-V belt Axle EL=758 L=780mm,355
012632-958-00725,?50 Slave roller single side Poly-V belt Axle EL=725 L=749mm,0
012632-958-00716,?50 Slave roller single side Poly-V belt Axle EL=716 L=738mm,0
012632-958-00708,?50 Slave roller single side Poly-V belt Axle EL=708 L=730mm,0
012632-958-00692,?50 Slave roller single side Poly-V belt Axle EL=692 L=716mm,0
012632-958-00664,?50 Slave roller single side Poly-V belt Axle EL=664 L=686mm,0
012632-958-00658,?50 Slave roller single side Poly-V belt Axle EL=658 L=680mm,1384
012632-958-00633,?50 Slave roller single side Poly-V belt Axle EL=633 L=655mm,0
012632-958-00621,?50 Slave roller single side Poly-V belt Axle EL=621 L=643mm,0
012632-958-00588,?50 Slave roller single side Poly-V belt Axle EL=588 L=610mm,0
012632-958-00577,?50 Slave roller single side Poly-V belt Axle EL=577 L=599mm,0
012632-958-00558,?50 Slave roller single side Poly-V belt Axle EL=558 L=580mm,6780
012632-958-00553,?50 Slave roller single side Poly-V belt Axle EL=553 L=575mm,0
012632-958-00542,?50 Slave roller single side Poly-V belt Axle EL=542 L=564mm,0
012632-958-00534,?50 Slave roller single side Poly-V belt Axle EL=534 L=556mm,0
012632-958-00518,?50 Slave roller single side Poly-V belt Axle EL=518 L=540mm,0
012632-958-00491,?50 Slave roller single side Poly-V belt Axle EL=491 L=513mm,0
012632-958-00483,?50 Slave roller single side Poly-V belt Axle EL=483 L=505mm,0
012632-958-00458,?50 Slave roller single side Poly-V belt Axle EL=458 L=480mm,12392
012632-958-00448,?50 Slave roller single side Poly-V belt Axle EL=448 L=470mm,0
012632-958-00416,?50 Slave roller single side Poly-V belt Axle EL=416 L=438mm,0
012632-958-00414,?50 Slave roller single side Poly-V belt Axle EL=414 L=438mm,0
012632-958-00408,?50 Slave roller single side Poly-V belt Axle EL=408 L=430mm,0
012632-958-00380,?50 Slave roller single side Poly-V belt Axle EL=380 L=402mm,0
012632-958-00362,?50 Slave roller single side Poly-V belt Axle EL=362 L=384mm,0
012632-958-00345,?50 Slave roller single side Poly-V belt Axle EL=345 L=369mm,0
012632-958-00333,?50 Slave roller single side Poly-V belt Axle EL=333 L=355mm,0
012632-958-00318,?50 Slave roller single side Poly-V belt Axle EL=318 L=340mm,0
012632-958-00311,?50 Slave roller single side Poly-V belt Axle EL=311 L=333mm,0
012632-958-00275,?50 Slave roller single side Poly-V belt Axle EL=275 L=297mm,0
012632-958-00258,?50 Slave roller single side Poly-V belt Axle EL=258 L=280mm,0
012632-958-00241,?50 Slave roller single side Poly-V belt Axle EL=241 L=263mm,0
012632-958-00232,?50 Slave roller single side Poly-V belt Axle EL=232 L=254mm,0
012632-958-00206,?50 Slave roller single side Poly-V belt Axle EL=206 L=228mm,0
012632-958-00188,?50 Slave roller single side Poly-V belt Axle EL=188 L=210mm,0
012632-958-00183,?50 Slave roller single side Poly-V belt Axle EL=183 L=205mm,0
012632-958-00172,?50 Slave roller single side Poly-V belt Axle EL=172 L=194mm,0
012632-958-00145,?50 Slave roller single side Poly-V belt Axle EL=145 L=167mm,0
012632-958-00137,?50 Slave roller single side Poly-V belt Axle EL=137 L=159mm,0
012632-958-00108,?50 Slave roller single side Poly-V belt Axle EL=108 L=130mm,0
012632-907-00002,Poly-V Belt 2PJ,0
012632-907-00001,Poly-V Belt 2PJ,33104
009249-471-00001,Finger protection short,0
012632-905-30238,Belt guide (wood),0
012632-905-30118,Belt guide (wood),0
012632-905-30038,Belt guide (wood),79
012632-898-11001,Assy guardrail Dotm-RM,1
012632-898-01001,Assy guardrail Dotm-RM,1
012632-896-00520,Assy Underguarding RM,1
012632-885-00958,"?50 Gravity roller with spring, light running St/hex EL=958",0
012632-885-00758,"?50 Gravity roller with spring, light running St/hexEL=758",0
012632-885-00658,"?50 Gravity roller with spring, light running St/hex, EL=658",152
012632-885-00558,"?50 Gravity roller with spring, light running St/hex EL=558",705
012632-885-00458,"?50 Gravity roller with spring, light running St/hex EL=458",259
012632-876-00001,Assy Cutting Tool Sidecover,0
012632-875-00001,Mounting Tool Poly-V Belt,0
012632-871-00002,Installation tool DOTM channel (Steel),0
012632-850-00001,Assy Photocell bracket,0
012632-847-45960,Underguarding LRC,4
012632-847-45660,Underguarding LRC,22
012632-847-45560,Underguarding LRC,17
012632-847-45460,Underguarding LRC,262
012632-847-30760,Underguarding LRC,6
012632-847-30660,Underguarding LRC,12
012632-847-30560,Underguarding LRC,4
012632-847-30460,Underguarding LRC,26
012632-841-00520,Assy rollermerge,1
012632-819-21024,Assy LRJ 30ø right,0
012632-819-21013,Assy LRJ 30ø right,0
012632-819-21012,Assy LRJ 30ø right,0
012632-819-20625,Assy LRJ 30ø right,0
012632-819-20612,Assy LRJ 30ø right,0
012632-818-21012,Assy LRJ 30ø left,0
012632-818-20625,Assy LRJ 30ø left,0
012632-818-20624,Assy LRJ 30ø left,0
012632-818-20612,Assy LRJ 30ø left,0
012632-817-21025,Assy LRJ 45?ø right,0
012632-817-21014,Assy LRJ 45ø right,0
012632-816-21025,Assy LRJ 45ø left,0
012632-816-21014,Assy LRJ 45?ø left,0
012632-816-20615,Assy LRJ 45ø left,0
012632-761-00001,Assy 5/2 Valve for Multibelt,2587
012632-760-00001,Assy Accumulation Control,0
012632-683-00001,Assy Standard Fasteners M10,238097
012632-675-00001,Reflector tape OFR-30/30 self adhesive,0
012632-539-00520,Crossmember Multi Belt,74
012632-502-00001,Connection plate bridge conveyor,0
012632-427-00920,Mounting angle Drive LR/ARP,4
012632-427-00820,Mounting angle Drive LR/ARP,6
012632-427-00620,Mounting angle Drive LR/ARP,0
012632-427-00520,Mounting angle Drive LR/ARP,90
012632-409-00852,Safety cap ETU ?75 BF RAL7016  L=852,5
012632-409-00652,Safety cap ETU ?75 BF  RAL7016  L=652,1
012632-394-50624,Assy Bridge Conveyor,0
012632-394-40614,Assy Bridge Conveyor,0
012632-392-10150,Drive train LRJ 520 IE3,0
012632-386-10111,Drive Train BJM Speed <60m/min IE3,0
012632-365-11130,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,0
012632-365-11090,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,9
012632-365-11060,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,34
012632-365-11045,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,43
012632-365-11030,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,0
012632-365-10130,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,23
012632-365-10090,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,8
012632-365-10060,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,32
012632-365-10045,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,65
012632-365-10030,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,0
012632-365-01150,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,1
012632-365-01130,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,0
012632-365-01090,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,20
012632-365-01060,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,27
012632-365-01045,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,16
012632-365-01020,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,0
012632-365-00130,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,3
012632-365-00090,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,15
012632-365-00060,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,29
012632-365-00045,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,48
012632-365-00030,Assy Drivetrain ?200 Drive Medium Power SEW (US) IE3,0
012632-357-11090,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-357-11045,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-357-10130,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-357-10090,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-357-10060,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-357-10045,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-357-01130,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-357-01090,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-357-01060,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-357-01045,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-357-00090,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-357-00060,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-357-00045,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
012632-352-00001,Centering ring,0
012632-251-10460,Straight Drive Roller PM500FE-25,3
012632-251-00660,Straight Drive Roller PM500FE-25,23
012632-251-00460,Straight Drive Roller PM500FE-25,155
012632-238-10620,Assy Return Roller SB,0
012632-238-10520,Assy Return Roller SB,0
012632-224-00001,Assy brace Lmin=150 Lmax=540,8
012632-223-00001,Assy Adjustable 90ø Connection,209
012632-222-00003,Assy single adjustable connection,3
012632-222-00002,Assy single adjustable connection,0
012632-222-00001,Assy single adjustable connection,314
012632-209-01020,Workstation support beam single,1
012632-209-00920,Workstation support beam single,24
012632-209-00820,Workstation support beam single,9
012632-209-00720,Workstation support beam single,70
012632-209-00620,Workstation support beam single,15
012632-209-00520,Workstation support beam single,34
012632-208-70041,Assy R3 support double (welded),0
012632-208-40038,Assy R3 support double (welded),0
012632-208-30041,Assy R3 support double (welded),0
012632-208-30035,Assy R3 support double (welded),0
012632-208-20047,Assy R3 support double (welded),0
012632-208-20044,Assy R3 support double (welded),0
012632-208-20041,Assy R3 support double (welded),0
012632-208-20028,Assy R3 support double (welded),0
012632-174-00600,Assy guardrail nose over  H=600,0
012632-174-00300,Assy guardrail nose over  H=300,20
012632-173-60300,Assy sideguarding fixed  L=2998,0
012632-173-60090,Assy sideguarding fixed  L=898,0
012632-173-30060,Assy sideguarding fixed  L=598,0
012632-169-90072,Guardrail U-shape Outercurve H=100mm,0
012632-169-90062,Guardrail U-shape Outercurve H=100mm,7
012632-169-90052,Guardrail U-shape Outercurve H=100mm,124
012632-169-60072,Guardrail U-shape Outercurve H=100mm,5
012632-169-60062,Guardrail U-shape Outercurve H=100mm,2
012632-169-60052,Guardrail U-shape Outercurve H=100mm,5
012632-169-45082,Guardrail U-shape Outercurve H=100mm,0
012632-169-45072,Guardrail U-shape Outercurve H=100mm,3
012632-169-45062,Guardrail U-shape Outercurve H=100mm,3
012632-169-45052,Guardrail U-shape Outercurve H=100mm,20
012632-169-30082,Guardrail U-shape Outercurve H=100mm,3
012632-169-30072,Guardrail U-shape Outercurve H=100mm,1
012632-169-30052,Guardrail U-shape Outercurve H=100mm,16
012632-168-90000,Guardrail U-shape Innercurve H=100mm,131
012632-168-60000,Guardrail U-shape Innercurve H=100mm,12
012632-168-45000,Guardrail U-shape Innercurve H=100mm,26
012632-168-30000,Guardrail U-shape Innercurve H=100mm,8
012632-166-00135,Assy Round-Side Guarding Support Adjustable,0
012632-164-10155,Assy U-Side Guarding support Adjustable,98
012632-164-10055,Assy U-Side Guarding support Adjustable,6
012632-164-00155,Assy U-Side Guarding support Adjustable,13137
012632-164-00055,Assy U-Side Guarding support Adjustable,114
012632-160-00001,Assy sideguarding bracket high,16
009527-020-20715,Assy LRJ 30ø Right with Pitch 60mm / Finger Protection,12
009527-021-20715,Assy LRJ 30ø Left with Pitch 60mm / Finger Protection,12
012632-148-07596,Weldment Heavy Deck  L=748,3
012632-148-07576,Weldment Heavy Deck RAL7016  L=748,15
012632-148-07556,Weldment Heavy Deck  L=748,769
012632-148-07546,Weldment Heavy Deck  L=748,47
012632-141-10520,Assy return roller MB L=520mm + slots,1248
012632-140-30820,Assy return roller SB L=820mm w PVC covering + slots,11
012632-140-30720,Assy return roller SB L=720mm w PVC covering + slots,133
012632-140-30620,Assy return roller SB L=620mm w PVC covering + slots,226
012632-140-30520,Assy return roller SB L=520mm w PVC covering + slots,85
012632-140-21020,Assy return roller SB L=1020mm w/o PVC covering + slots,43
012632-140-20920,Assy return roller SB L=920mm w/o PVC covering + slots,68
012632-140-20820,Assy return roller SB L=820mm w/o PVC covering + slots,147
004421-07033,E12/2 U0/V/U0-SE black W=700 prepared FR,12
012632-140-20720,Assy return roller SB L=720mm w/o PVC covering + slots,8
012632-140-20620,Assy return roller SB L=620mm w/o PVC covering + slots,580
012632-140-20520,Assy return roller SB L=520mm w/o PVC covering + slots,962
012632-131-00820,Assy Bridge Roller  L=770,6
012632-131-00720,Assy Bridge Roller  L=670,6
012632-131-00620,Assy Bridge Roller  L=570,12
012632-104-02102,Assy SR Left,1
012632-104-02062,Assy SR Left,3
012632-104-01082,Assy SR Left,1
012632-104-01072,Assy SR Left,0
012632-104-01062,Assy SR Left,0
012632-103-02102,Assy SR Right,1
012632-103-02062,Assy SR Right,3
012632-103-01102,Assy SR Right,1
012632-103-01082,Assy SR Right,2
012632-103-01072,Assy SR Right,5
012632-096-00140,Top cover medium,1
012632-095-00001,Top cover small,272
012632-094-00150,Assy Multiveyor Channel,2506
012632-094-00075,Assy Multiveyor Channel,108
012632-092-06204,Assy Drive Additionals 200 drive Multi Belt,1
012632-092-05204,Assy Drive Additionals 200 drive Multi Belt,111
012632-085-01020,Assy Drive Additionals 200 drive Single Belt,4
012632-085-00920,Assy Drive Additionals 200 drive Single Belt,2
012632-085-00820,Assy Drive Additionals 200 drive Single Belt,28
012632-085-00720,Assy Drive Additionals 200 drive Single Belt,6
012632-085-00620,Assy Drive Additionals 200 drive Single Belt,81
012632-085-00520,Assy Drive Additionals 200 drive Single Belt,140
012632-084-11020,Assy tracking roller,0
012632-084-10820,Assy tracking roller,0
012632-084-10720,Assy tracking roller,0
012632-084-10620,Assy tracking roller,46
012632-084-10520,Assy tracking roller,16
012632-082-11020,Assy Tracking Unit Single,2
012632-082-10920,Assy Tracking Unit Single,0
012632-082-10820,Assy Tracking Unit Single,7
012632-082-10720,Assy Tracking Unit Single,25
012632-082-10620,Assy Tracking Unit Single,51
012632-082-10520,Assy Tracking Unit Single,27
012632-082-00820,Assy Tracking Unit Single,3
012632-082-00520,Assy Tracking Unit Single,10
012632-064-00820,Assy fixed stop,6
012632-064-00720,Assy fixed stop,1
012632-064-00620,Assy fixed stop,17
012632-064-00520,Assy fixed stop,53
012632-063-01020,Assy end stop,2
012632-063-00820,Assy end stop,3
012632-063-00720,Assy end stop,9
012632-063-00620,Assy end stop,147
012632-063-00520,Assy end stop,34
012632-057-06204,Assy ETU Multiveyor  L=560,2
012632-057-05204,Assy ETU Multiveyor  L=460,222
012632-055-01020,"Assy ETU standard BF (W=Wmm), roller L=944mm",15
012632-055-00920,"Assy ETU standard BF (W=Wmm), roller L=844mm",35
012632-055-00820,"Assy ETU standard BF (W=Wmm), roller L=744mm",58
012632-055-00720,"Assy ETU standard BF (W=Wmm), roller L=644mm",66
012632-055-00620,"Assy ETU standard BF (W=Wmm), roller L=544mm",398
012632-055-00520,"Assy ETU standard BF (W=Wmm), roller L=444mm",461
012632-050-01020,Assy Nose Over SB,3
012632-050-00920,Assy Nose Over SB,26
012632-050-00820,Assy Nose Over SB,25
012632-050-00720,Assy Nose Over SB,0
012632-050-00620,Assy Nose Over SB,84
012632-050-00520,Assy Nose Over SB,116
012632-044-13029,Assy PTO 90ø transfer,0
004552-09000,Belt EL0/V10 LG-SE black W=900 endless tol acc elastic,14
012632-043-13000,Assy MD Angle=90ø transfer  L=797 W=520,56
012632-015-17035,"Side cover, L=1457 mm, colour light grey",21152
012632-015-17016,"Side cover, L=1457 mm,ÿ colour anthracite grey",0
012632-007-00960,Crossmember axle ?16mm,5
012632-007-00860,Crossmember axle ?16mm,0
012632-007-00760,Crossmember axle ?16mm,48
012632-007-00660,Crossmember axle ?16mm,421
012632-007-00560,Crossmember axle ?16mm,750
012632-007-00460,Crossmember axle ?16mm,2167
012632-006-00001,Connection Bed-Bed   RAL7016,8720
012632-005-01020,Crossmember Standard,6
012632-005-00920,Crossmember Standard,0
012632-005-00820,Crossmember Standard,41
012632-005-00720,Crossmember Standard,246
012632-005-00620,Crossmember Standard,410
012632-005-00520,Crossmember Standard,879
012632-002-04200,Conveyor Channel Ral 7016,658
012632-002-03000,Conveyor Channel Ral 7016,8024
012632-002-01500,Conveyor Channel Ral 7016,2321
012632-001-02100,Conveyor Channel,0
012632-001-01650,Conveyor Channel,0
012632-001-00825,Conveyor Channel,0
012632-001-00600,Conveyor Channel,0
012632-001-00525,Conveyor Channel,0
012608-087-00002,Assy hinge connection LRJ to .M track,3
012608-087-00001,Assy hinge connection LRJ to .M track,3
012608-066-10700,Assy underguarding BJ 30ø,6
012608-066-00700,Assy underguarding BJ 30ø,0
012608-028-06035,Hook for side cover,0
012201-084-61110,Cover ETU charge side BM,1
012201-084-30910,Cover ETU charge side BM,2
012201-084-11410,Cover ETU charge side BM,1
012201-035-00630,ASSY STRAIGHT CONNECTION FOR BM,0
012201-001-01200,Assy finger protection,103
012201-001-01500,Assy finger protection,92
012100-760-15070,Assy Connection Side Guarding Belt Junction 30ø Left,0
012100-760-11070,Assy Connection Side Guarding Belt Junction 30ø Left,9
012100-759-11070,Assy Connection Side Guarding Belt Junction 30ø Right,0
011565-555-00001,Special screw M6x35 Posisorter,0
011509-242-00600,Assy infeed guide corners,11
011508-045-11422,Bottom plate drive aluminium aluminium L=1422,81
011508-045-11122,Bottom plate drive aluminium aluminium L=1122,23
011508-045-10922,Bottom plate drive aluminium aluminium L=922,4
011508-011-01500,"Assy ÿETU BF (W=1500mm), roller L=1258mm",0
011508-011-01200,"Assy ÿETU BF (W=1200 mm), roller L=958mm",0
011507-657-40000,ASSY COVER ETU,30
011507-657-20000,ASSY COVER ETU,30
011507-657-10000,ASSY COVER ETU,3
011507-450-60000,Assy Guardrail Change Over,0
011507-450-30000,Assy Guardrail Change Over,0
011507-023-01500,Assy tracking roller,42
011507-023-01200,Assy tracking roller,15
011507-023-01000,Assy tracking roller,3
011488-183-13000,Assy Noise Reducing Bottom Cover ETU,0
011488-183-10000,Assy Noise Reducing Bottom Cover ETU,0
011488-179-13000,Assy Noise Reducing Bottom Cover Drive,0
011488-179-10000,Assy Noise Reducing Bottom Cover Drive,0
011488-173-00577,Oil Lid Noise Reducing SPO Covers,0
011488-159-09211,Assy Return Belt Support Wheels (DotM),0
011488-159-09210,Assy Return Belt Support Wheels (DotM),4
011488-159-08211,Assy Return Belt Support Wheels (DotM),10
011488-159-08210,Assy Return Belt Support Wheels (DotM),27
011488-159-06210,Assy Return Belt Support Wheels (DotM),73
011488-159-05210,Assy Return Belt Support Wheels (DotM),81
011488-119-00001,Assy noise reducing side cover Drive,0
011488-117-00001,Assy noise reducing side cover ETU,0
011488-115-13020,Assy noise reducing bottom cover bedsection,0
011488-115-13010,Assy noise reducing bottom cover bedsection,0
004421-10033,Belt E12/2 U0/V/U0-SE black W=1000 prepared FR,17
011488-115-13000,Assy noise reducing bottom cover bedsection,0
011488-115-10020,Assy noise reducing bottom cover bedsection,0
011488-115-10010,Assy noise reducing bottom cover bedsection,0
011488-115-10000,Assy noise reducing bottom cover bedsection,0
011488-110-30000,Assy noise reducing side cover bedsection SPO,0
011488-110-27000,Assy noise reducing side cover bedsection SPO,0
011488-110-22500,Assy noise reducing side cover bedsection SPO,0
011488-058-00759,Assy Return Support Wheels (DotM),0
011488-058-00559,Assy Return Support Wheels (DotM),0
011488-058-00459,Assy Return Support Wheels (DotM),0
010226-010-20060,FIlling channel,971
010226-010-20040C9A,FIlling channel,115
010226-010-20040,FIlling channel,1842
010226-010-20032,FIlling channel,0
010193-114-00530,Assy R3 support low single,0
010193-114-00280,Assy R3 support low single,0
010193-113-40035,Assy R3 support double (welded),0
010193-113-30050,Assy R3 support double (welded),0
010193-113-30047,Assy R3 support double (Welded),0
010193-113-30044,Assy R3 support double (welded),0
010193-113-30041,Assy R3 support double (welded),0
010193-113-30032,Assy R3 support double (welded),0
010193-113-20041,Assy R3 support double (welded),4
010193-113-20038,Assy R3 support double (welded),0
010193-113-20032,Assy R3 support double (welded),0
010193-071-00002,Assy inlet skewed roller,4
010193-071-00001,Assy inlet skewed roller,4
010193-031-00001,Assy Cabling CBK-109FP (1 Dir M12) with Healthy signal,0
010193-029-07083,Assy R4 Support,0
010193-029-07075,Assy R4 Support,0
010193-029-07060,Assy R4 Support,0
010193-029-06083,Assy R4 Support,9
010193-029-06075,Assy R4 Support,0
010193-029-05105,Assy R4 Support,0
010193-029-05098,Assy R4 Support,0
010193-029-05090,Assy R4 Support,0
010193-029-05083,Assy R4 Support,67
010193-029-05075,Assy R4 Support,8
010193-029-05068,Assy R4 Support,1
010193-029-05060,Assy R4 Support,0
010193-029-05053,Assy R4 Support,32
010193-029-05045,Assy R4 Support,0
010193-029-05038,Assy R4 Support,0
010193-029-04193,Assy R4 Support,0
010193-029-04083,Assy R4 Support,16
010193-029-04075,Assy R4 Support,0
010193-029-04060,Assy R4 Support,0
010193-029-04038,Assy R4 Support,13
010193-029-03268,Assy R4 Support,0
010193-029-03218,Assy R4 Support,0
010193-029-03193,Assy R4 Support,0
010193-029-03143,Assy R4 Support,0
010193-029-03135,Assy R4 Support,0
010193-029-03120,Assy R4 Support,0
010193-029-03090,Assy R4 Support,0
010193-029-03083,Assy R4 Support,97
010193-029-03075,Assy R4 Support,8
010193-029-03068,Assy R4 Support,9
010193-029-03060,Assy R4 Support,333
010193-029-03053,Assy R4 Support,217
010193-029-03045,Assy R4 Support,73
010193-029-03038,Assy R4 Support,0
010193-029-02243,Assy R4 Support,0
010193-029-02193,Assy R4 Support,21
010193-029-02128,Assy R4 Support,5
010193-029-02120,Assy R4 Support,15
010193-029-02113,Assy R4 Support,9
010193-029-02105,Assy R4 Support,10
010193-029-02098,Assy R4 Support,1
010193-029-02090,Assy R4 Support,7
010193-029-02083,Assy R4 Support,483
010193-029-02075,Assy R4 Support,21
010193-029-02068,Assy R4 Support,22
